Timestamp,Value
1149,75.75
1150,91.87
1151,93.48
1152,89.45
1153,114.43
1154,78.17
1155,108.79
1156,94.29
1157,95.09
1158,104.76
1159,105.57
1160,94.29
1161,107.99
1162,86.23
1163,99.12
1164,112.01
1165,114.43
1166,80.59
1167,116.85
1168,99.12
1169,113.63
1170,117.66
1171,78.97
1172,74.95
1173,103.15
1174,99.93
1175,102.34
1176,95.09
1177,77.36
1178,96.7
1179,78.17
1180,107.99
1181,108.79
1182,91.87
1183,84.62
1184,77.36
1185,113.63
1186,86.23
1187,103.96
1188,98.32
1189,80.59
1190,90.26
1191,101.54
1192,98.32
1193,101.54
1194,115.24
1195,112.82
1196,111.21
1197,94.29
1198,86.23
1199,100.73
1200,78.97
1201,112.82
1202,106.37
1203,88.64
1204,88.64
1205,91.87
1206,75.75
1207,91.06
1208,112.82
1209,112.01
1210,103.15
1211,101.54
1212,99.12
1213,96.7
1214,75.75
1215,84.62
1216,107.18
1217,113.63
1218,87.03
1219,76.56
1220,95.9
1221,119.27
1222,107.99
1223,86.23
1224,113.63
1225,99.93
1226,87.84
1227,99.12
1228,112.82
1229,105.57
1230,80.59
1231,105.57
1232,105.57
1233,97.51
1234,84.62
1235,79.78
1236,76.56
1237,112.82
1238,99.12
1239,82.2
1240,85.42
1241,81.39
1242,100.73
1243,87.84
1244,95.09
1245,110.4
1246,105.57
1247,111.21
1248,112.01
1249,80.59
1250,89.45
1251,115.24
1252,119.27
1253,87.03
1254,101.54
1255,112.82
1256,113.63
1257,99.12
1258,112.01
1259,95.09
1260,77.36
1261,94.29
1262,112.01
1263,91.87
1264,110.4
1265,90.26
1266,94.29
1267,116.85
1268,84.62
1269,99.12
1270,102.34
1271,86.23
1272,103.15
1273,91.87
1274,111.21
1275,87.03
1276,105.57
1277,115.24
1278,109.6
1279,120.07
1280,81.39
1281,105.57
1282,75.75
1283,95.9
1284,83.0
1285,78.97
1286,103.15
1287,88.64
1288,87.03
1289,78.97
1290,85.42
1291,78.17
1292,100.73
1293,106.37
1294,77.36
1295,79.78
1296,107.18
1297,107.99
1298,84.62
1299,104.76
1300,78.17
1301,105.57
1302,84.62
1303,97.51
1304,114.43
1305,112.82
1306,103.96
1307,85.42
1308,104.76
1309,95.9
1310,110.4
1311,107.99
1312,90.26
1313,119.27
1314,113.63
1315,88.64
1316,106.37
1317,112.01
1318,84.62
1319,112.01
1320,83.81
1321,81.39
1322,96.7
1323,104.76
1324,88.64
1325,104.76
1326,85.42
1327,88.64
1328,107.18
1329,76.56
1330,95.09
1331,74.95
1332,94.29
1333,100.73
1334,106.37
1335,112.82
1336,110.4
1337,91.87
1338,99.93
1339,112.82
1340,115.24
1341,102.34
1342,117.66
1343,89.45
1344,111.21
1345,79.78
1346,114.43
1347,105.57
1348,78.97
1349,113.63
1350,116.85
1351,87.84
1352,97.51
1353,112.82
1354,104.76
1355,85.42
1356,110.4
1357,109.6
1358,91.06
1359,88.64
1360,115.24
1361,91.06
1362,116.85
1363,88.64
1364,79.78
1365,78.97
1366,109.6
1367,99.12
1368,112.01
1369,112.82
1370,82.2
1371,79.78
1372,75.75
1373,101.54
1374,113.63
1375,116.85
1376,77.36
1377,92.67
1378,98.32
1379,109.6
1380,104.76
1381,116.04
1382,107.99
1383,116.04
1384,98.32
1385,76.56
1386,105.57
1387,88.64
1388,93.48
1389,78.97
1390,112.82
1391,110.4
1392,93.48
1393,113.63
1394,104.76
1395,97.51
1396,100.73
1397,96.7
1398,107.18
1399,107.18
1400,77.36
1401,94.29
1402,87.03
1403,109.6
1404,108.79
1405,110.4
1406,113.63
1407,85.42
1408,81.39
1409,78.17
1410,94.29
1411,97.51
1412,80.59
1413,82.2
1414,99.93
1415,118.46
1416,111.21
1417,112.82
1418,78.17
1419,112.01
1420,98.32
1421,85.42
1422,83.81
1423,107.99
1424,91.87
1425,114.43
1426,97.51
1427,110.4
1428,112.82
1429,108.79
1430,87.03
1431,115.24
1432,74.95
1433,92.67
